,gameId,playId,playDescription,quarter,possessionTeam,kickerId,returnerId,yardlineSide,yardlineNumber,gameClock,penaltyCodes,penaltyJerseyNumbers,penaltyYards,preSnapHomeScore,preSnapVisitorScore,kickLength,kickReturnYardage,absoluteYardlineNumber,hangTime,kickType,kickDirectionIntended,kickDirectionActual,returnDirectionIntended,returnDirectionActual,missedTackler,assistTackler,tackler,kickoffReturnFormation,specialTeamsSafeties
2084,2018120910,1430,"B.Pinion kicks 62 yards from SF 35 to DEN 3. D.Booker to DEN 25 for 22 yards (R.Dwelley, M.Dayes).",2,SF,42508.0,43425,SF,35,09:47:00,NP,NP,0,13,0,62.0,22.0,45,4.2,D,C,C,C,C,returner_tackled,SF 43,SF 82,8-0-1,SF 32; SF 81
2086,2018120910,2678,B.Pinion kicks 63 yards from SF 35 to DEN 2. B.Langley to DEN 17 for 15 yards (G.Mabin).,3,SF,42508.0,44913,SF,35,15:00:00,NP,NP,0,20,0,63.0,15.0,75,4.1,D,C,C,C,L,returner_tackled,Solo,SF 26,8-0-1,SF 32; SF 81
2087,2018120910,3245,"B.McManus kicks 64 yards from DEN 35 to SF 1. R.James to SF 20 for 19 yards (S.Thomas). PENALTY on SF-M.Harris, Illegal Block Above the Waist, 10 yards, enforced at SF 20.",3,DEN,40276.0,46309,DEN,35,06:05:00,IBW,SF 36,10,20,7,64.0,19.0,45,4.0,D,C,C,C,C,returner_tackled,Solo,DEN 38,8-0-2,DEN 35
2095,2018120912,36,"J.Elliott kicks 66 yards from PHI 35 to DAL -1. J.Lewis to DAL 18 for 19 yards (M.Jenkins). Philadelphia challenged the runner was down by contact ruling, and the play was Upheld. The ruling on the field stands. (Timeout #1.)",1,PHI,44966.0,44904,PHI,35,15:00:00,NP,NP,0,0,0,66.0,19.0,75,3.98,D,C,C,R,R,returner_tackled,Solo,PHI 27,8-0-2,PHI 27; PHI 34
2096,2018120912,740,B.Maher kicks 65 yards from DAL 35 to PHI 0. C.Clement to PHI 36 for 36 yards (J.March-Lillard; B.Maher).,1,DAL,40775.0,45599,DAL,35,02:25:00,NP,NP,0,3,0,65.0,36.0,45,4.08,D,C,C,L,L,DAL 57,DAL 02,DAL 53,8-0-2,DAL 31; DAL 38
2104,2018120912,4107,J.Elliott kicks 40 yards from 50 to DAL 10. C.Beasley to DAL 18 for 8 yards (K.Grugier-Hill).,4,PHI,44966.0,38947,midfield,50,01:39:00,NP,NP,0,23,23,40.0,8.0,60,3.5,P,R,R,L,L,returner_tackled,Solo,PHI 54,8-0-2,PHI 27; PHI 34
2106,2018120913,36,"OAK CAPTAINS: #4 D. Carr, #61 R. Hudson, #98. F. Rucker PIT CAPTAINS: #7 B. Roethlisberger, #97 C. Heyward C.Boswell kicks 52 yards from PIT 35 to OAK 13. D.Harris to OAK 26 for 13 yards (R.Nix).",1,PIT,41953.0,37251,PIT,35,15:00:00,NP,NP,0,0,0,52.0,13.0,75,4.06,P,R,R,C,C,PIT 29,Solo,PIT 45,5-3-2,PIT 20
2107,2018120913,304,D.Carlson kicks 56 yards from OAK 35 to PIT 9. R.Switzer to PIT 25 for 16 yards (J.Richard).,1,OAK,46236.0,44946,OAK,35,10:44:00,NP,NP,0,7,0,56.0,16.0,45,4.09,D,C,C,C,C,returner_tackled,Solo,OAK 30,6-2-2,OAK 31; OAK 42
2108,2018120913,994,C.Boswell kicks 58 yards from PIT 35 to OAK 7. D.Harris pushed ob at OAK 28 for 21 yards (D.Heyward-Bey).,2,PIT,41953.0,37251,PIT,35,12:18:00,NP,NP,0,7,7,58.0,21.0,45,4.17,D,C,C,C,L,returner_tackled,Solo,PIT 88,5-3-2,PIT 25; PIT 29
2114,2018120913,4198,D.Carlson kicks 60 yards from OAK 35 to PIT 5. R.Switzer pushed ob at PIT 30 for 25 yards (D.Harris).,4,OAK,46236.0,44946,OAK,35,00:21:00,NP,NP,0,24,21,60.0,25.0,75,4.23,D,C,C,L,L,returner_tackled,Solo,OAK 17,6-2-2,OAK 37; OAK 42
2115,2018121000,38,S.Janikowski kicks 67 yards from SEA 35 to MIN -2. A.Abdullah to MIN 23 for 25 yards (N.Thorpe; T.Thompson).,1,SEA,25326.0,42397,SEA,35,15:00:00,NP,NP,0,0,0,67.0,25.0,75,3.7,D,C,C,R,R,SEA 21; SEA 24,SEA 33,SEA 23,8-0-2,SEA 28; SEA 33
2116,2018121000,906,S.Janikowski kicks 58 yards from SEA 35 to MIN 7. A.Abdullah to MIN 22 for 15 yards (B.Mingo).,2,SEA,25326.0,42397,SEA,35,14:11:00,NP,NP,0,3,0,58.0,15.0,45,4.11,D,L,L,C,C,returner_tackled,Solo,SEA 51,8-0-2,SEA 28; SEA 33
2120,2018121000,3696,S.Janikowski kicks 59 yards from SEA 35 to MIN 6. A.Abdullah to MIN 30 for 24 yards (M.Alexander). SEA-M.Alexander was injured during the play.,4,SEA,25326.0,42397,SEA,35,02:35:00,NP,NP,0,21,0,59.0,24.0,75,3.83,D,L,L,C,C,returner_tackled,Solo,SEA 28,8-0-2,SEA 28; SEA 33
2124,2018121300,1259,M.Badgley kicks 65 yards from LAC 35 to KC 0. Tr. Smith to LAC 49 for 51 yards (D.Watt; M.Badgley).,2,LAC,46342.0,46265,LAC,35,09:43:00,NP,NP,0,14,7,65.0,51.0,45,3.63,D,C,C,R,R,returner_tackled,LAC 34,LAC 31,8-0-2,LAC 29; LAC 31
2125,2018121300,2044,M.Badgley kicks 59 yards from LAC 35 to KC 6. Tr. Smith to KC 26 for 20 yards (G.Davis; D.Newsome).,3,LAC,46342.0,46265,LAC,35,15:00:00,NP,NP,0,14,7,59.0,20.0,75,3.8,D,C,C,L,C,returner_tackled,Solo,LAC 11,8-0-2,LAC 29; LAC 31
2126,2018121300,2272,H.Butker kicks 63 yards from KC 35 to LAC 2. D.King to LAC 24 for 22 yards (J.Lucas; D.O'Daniel).,3,KC,45046.0,44964,KC,35,11:38:00,NP,NP,0,21,7,63.0,22.0,45,4.19,D,C,C,C,C,returner_tackled,Solo,KC 24,8-0-2,KC 24; KC 39
2127,2018121300,2576,M.Badgley kicks 59 yards from LAC 35 to KC 6. Tr. Smith to KC 20 for 14 yards (K.Wilson).,3,LAC,46342.0,46265,LAC,35,04:57:00,NP,NP,0,21,14,59.0,14.0,75,3.93,D,C,C,C,C,returner_tackled,Solo,LAC 56,8-0-2,LAC 29; LAC 31
2129,2018121300,3841,"M.Badgley kicks 54 yards from LAC 35 to KC 11. Tr. Smith to KC 24 for 13 yards (A.Phillips; U.Nwosu). PENALTY on KC-C.Ward, Illegal Block Above the Waist, 10 yards, enforced at KC 21.",4,LAC,46342.0,46265,LAC,35,03:49:00,IBW,KC 35,10,28,21,54.0,10.0,45,3.74,P,C,C,C,C,NT,NT,NT,8-0-2,LAC 29; LAC 31
2130,2018121300,4370,"M.Badgley kicks 58 yards from LAC 35 to KC 7. Tr. Smith to KC 16 for 9 yards. FUMBLES, recovered by KC-C.Conley at KC 16. C.Conley pushed ob at KC 17 for 1 yard (R.Jenkins).",4,LAC,46342.0,46265,LAC,35,00:04:00,NP,NP,0,28,29,58.0,9.0,45,0.0,Q,C,C,C,L,returner_tackled,Solo,LAC 23,8-0-2,LAC 29; LAC 31
2133,2018121500,796,J.Myers kicks 67 yards from NYJ 35 to HOU -2. D.Carter to HOU 26 for 28 yards (T.Basham).,1,NYJ,41175.0,42794,NYJ,35,02:01:00,NP,NP,0,3,3,67.0,28.0,75,4.09,D,C,C,C,C,NYJ 82,Solo,NYJ 93,8-0-2,NYJ 27; NYJ 41
2134,2018121500,1170,K.Fairbairn kicks 67 yards from HOU 35 to NYJ -2. A.Roberts to NYJ 25 for 27 yards (G.Howell).,2,HOU,43846.0,35527,HOU,35,12:51:00,NP,NP,0,3,6,67.0,27.0,75,4.24,D,C,C,R,R,returner_tackled,Solo,HOU 38,8-0-2,HOU 29; HOU 34
2136,2018121500,1774,K.Fairbairn kicks 62 yards from HOU 35 to NYJ 3. A.Roberts to NYJ 17 for 14 yards (G.Howell).,2,HOU,43846.0,35527,HOU,35,04:35:00,NP,NP,0,3,16,62.0,14.0,75,4.2,D,C,C,C,C,returner_tackled,Solo,HOU 38,8-0-2,HOU 29; HOU 34
2140,2018121500,3185,K.Fairbairn kicks 68 yards from HOU 35 to NYJ -3. A.Roberts to NYJ 27 for 30 yards (J.Webb).,4,HOU,43846.0,35527,HOU,35,12:33:00,NP,NP,0,15,19,68.0,30.0,75,4.26,D,C,C,L,L,returner_tackled,Solo,HOU 05,8-0-2,HOU 29; HOU 34
2146,2018121501,894,B.McManus kicks 68 yards from DEN 35 to CLE -3. D.Hilliard to CLE 28 for 31 yards (A.Janovich). DEN-B.Langley was injured during the play.,1,DEN,40276.0,46506,DEN,35,03:18:00,NP,NP,0,7,7,68.0,31.0,45,4.12,D,R,R,C,C,returner_tackled,Solo,DEN 32,8-0-1,DEN 27; DEN 35
2148,2018121501,1713,G.Joseph kicks 66 yards from CLE 35 to DEN -1. D.Booker to DEN 34 for 35 yards (R.Armstrong).,2,CLE,46634.0,43425,CLE,35,04:53:00,NP,NP,0,10,10,66.0,35.0,45,4.31,D,C,C,C,C,returner_tackled,Solo,CLE 52,8-0-2,CLE 26; CLE 38
2149,2018121501,2370,B.McManus kicks 65 yards from DEN 35 to CLE 0. J.Peppers to CLE 17 for 17 yards (J.Jones).,3,DEN,40276.0,44837,DEN,35,15:00:00,NP,NP,0,10,10,65.0,17.0,45,4.24,D,C,C,C,C,returner_tackled,Solo,DEN 11,8-0-1,DEN 34; DEN 35
2163,2018121600,4186,Z.Gonzalez kicks 59 yards from ARI 35 to ATL 6. J.Hardy ran ob at ATL 13 for 7 yards (C.Edmonds).,4,ARI,45037.0,42450,ARI,35,03:14:00,NP,NP,0,40,14,59.0,7.0,75,3.71,D,C,C,L,L,returner_tackled,Solo,ARI 29,7-0-3,ARI 27; ARI 33
2164,2018121601,36,J.Tucker kicks 62 yards from BAL 35 to TB 3. B.Wilson to TB 35 for 32 yards (C.Jones).,1,BAL,39470.0,45334,BAL,35,15:00:00,NP,NP,0,0,0,62.0,32.0,45,3.9,D,C,C,R,R,BAL 37,Solo,BAL 27,8-0-2,BAL 27; BAL 28
2166,2018121601,1631,J.Tucker kicks 62 yards from BAL 35 to TB 3. B.Wilson to TB 25 for 22 yards (M.Williams).,2,BAL,39470.0,45334,BAL,35,03:58:00,NP,NP,0,7,6,62.0,22.0,75,4.04,D,C,C,C,C,BAL 49,BAL 36,BAL 87,8-0-2,BAL 26; BAL 27
2167,2018121601,1879,C.Santos kicks 55 yards from TB 35 to BAL 10. C.Moore to BAL 31 for 21 yards (B.Wilson).,2,TB,41991.0,43396,TB,35,01:48:00,NP,NP,0,7,9,55.0,21.0,45,3.74,P,C,C,R,R,returner_tackled,Solo,TB 85,8-0-2,TB 22; TB 36
2168,2018121601,2121,J.Tucker kicks 47 yards from BAL 35 to TB 18. A.Auclair to TB 28 for 10 yards (C.Board).,2,BAL,39470.0,45321,BAL,35,00:09:00,NP,NP,0,10,9,47.0,10.0,75,0.0,Q,C,C,C,C,returner_tackled,Solo,BAL 49,8-0-2,BAL 27; BAL 28
2169,2018121601,2189,C.Santos kicks 64 yards from TB 35 to BAL 1. C.Moore to BAL 22 for 21 yards (D.Bond).,3,TB,41991.0,43396,TB,35,15:00:00,NP,NP,0,10,9,64.0,21.0,45,3.95,D,C,C,R,R,returner_tackled,Solo,TB 59,8-0-2,TB 22; TB 36
2171,2018121601,2777,C.Santos kicks 52 yards from TB 35 to BAL 13. C.Moore to BAL 45 for 32 yards (J.Watson).,3,TB,41991.0,43396,TB,35,05:43:00,NP,NP,0,17,12,52.0,32.0,45,3.89,P,C,C,C,C,TB 27; TB 36; TB 52,Solo,TB 17,8-0-2,TB 22; TB 36
2172,2018121601,3179,"J.Tucker kicks 68 yards from BAL 35 to TB -3. B.Wilson to TB 23 for 26 yards (J.Allen, C.Board).",4,BAL,39470.0,45334,BAL,35,13:32:00,NP,NP,0,20,12,68.0,26.0,45,3.83,D,L,L,R,R,returner_tackled,Solo,BAL 37,8-0-2,BAL 27; BAL 28
2173,2018121602,36,"S.Martin kicks 57 yards from DET 35 to BUF 8. I.McKenzie pushed ob at BUF 30 for 22 yards (T.Tabor). Return credited to BUF 29 (spot of foul). PENALTY on BUF-D.Scott, Illegal Block Above the Waist, 10 yards, enforced at BUF 29.",1,DET,40113.0,44985,DET,35,15:00:00,IBW,BUF 15,10,0,0,57.0,21.0,45,3.9,D,C,C,R,R,NT,NT,NT,8-0-2,DET 31; DET 32
2174,2018121602,1049,S.Martin kicks 60 yards from DET 35 to BUF 5. I.McKenzie to BUF 13 for 8 yards (A.Jones).,2,DET,40113.0,44985,DET,35,10:45:00,NP,NP,0,0,6,60.0,8.0,75,3.93,D,R,R,R,R,returner_tackled,Solo,DET 17,8-0-2,DET 31; DET 32
2175,2018121602,1267,S.Hauschka kicks 62 yards from BUF 35 to DET 3. T.Jones to DET 23 for 20 yards (J.Stanford).,2,BUF,33469.0,41418,BUF,35,07:55:00,NP,NP,0,7,6,62.0,20.0,45,3.8,D,C,C,C,C,returner_tackled,Solo,BUF 51,8-0-2,BUF 23
2179,2018121603,35,M.Crosby kicks 73 yards from GB 35 to CHI -8. A.Miller to CHI 23 for 31 yards (R.Tonyan).,1,GB,32386.0,46120,GB,35,15:00:00,NP,NP,0,0,0,73.0,31.0,75,3.54,D,C,C,R,R,returner_tackled,Solo,GB 85,8-0-2,GB 37; GB 82
2181,2018121603,1349,M.Crosby kicks 62 yards from GB 35 to CHI 3. A.Miller to CHI 21 for 18 yards (J.Kumerow).,2,GB,32386.0,46120,GB,35,07:27:00,NP,NP,0,7,3,62.0,18.0,45,3.89,D,R,R,C,C,returner_tackled,Solo,GB 16,8-0-2,GB 28; GB 37
2184,2018121603,2457,M.Crosby kicks 61 yards from GB 35 to CHI 4. A.Miller to CHI 30 for 26 yards (T.Brown).,3,GB,32386.0,46120,GB,35,09:26:00,NP,NP,0,14,6,61.0,26.0,75,3.83,D,C,C,R,R,returner_tackled,Solo,GB 28,8-0-2,GB 28; GB 37
2189,2018121604,45,"R.Bullock kicks 65 yards from CIN 35 to OAK 0. D.Harris to OAK 18 for 18 yards (C.Fejedelem). PENALTY on CIN-C.Core, Illegal Use of Hands, 10 yards, enforced at OAK 18.",1,CIN,38691.0,37251,CIN,35,15:00:00,ILHd,CIN 16,-10,0,0,65.0,18.0,45,3.95,D,R,R,C,C,returner_tackled,Solo,CIN 42,5-3-2,CIN 23; CIN 36
2191,2018121604,1394,R.Bullock kicks 64 yards from CIN 35 to OAK 1. D.Harris to OAK 23 for 22 yards (C.Core; M.Jefferson).,2,CIN,38691.0,37251,CIN,35,10:17:00,NP,NP,0,14,0,64.0,22.0,75,4.0,D,C,C,C,C,returner_tackled,CIN 45,CIN 16,5-3-2,CIN 23; CIN 36
2193,2018121604,1852,"D.Carlson kicks 67 yards from OAK 35 to CIN -2. A.Erickson to CIN 39 for 41 yards (K.Smith; D.Carlson). PENALTY on OAK-D.Carlson, Face Mask (15 Yards), 15 yards, enforced at CIN 39.",2,OAK,46236.0,43663,OAK,35,03:48:00,FMM,OAK 8,-15,17,7,67.0,41.0,45,3.8,D,C,C,C,L,OAK 08,Solo,OAK 41,8-0-2,OAK 31; OAK 42
2194,2018121604,2115,R.Bullock kicks 60 yards from CIN 35 to OAK 5. D.Harris to OAK 36 for 31 yards (M.Walton).,2,CIN,38691.0,37251,CIN,35,01:39:00,NP,NP,0,20,7,60.0,31.0,75,4.03,D,C,C,C,L,returner_tackled,CIN 36,CIN 32,5-3-2,CIN 23; CIN 36
2195,2018121604,2479,"D.Carlson kicks 61 yards from OAK 35 to CIN 4. A.Erickson ran ob at CIN 35 for 31 yards (B.Benwikere). PENALTY on CIN-A.Tate, Offensive Holding, 10 yards, enforced at CIN 35.",3,OAK,46236.0,43663,OAK,35,15:00:00,OH,CIN 19,10,20,7,61.0,31.0,75,4.1,D,L,L,C,L,OAK 33,Solo,OAK 37,8-0-2,OAK 37; OAK 42
2196,2018121604,3032,D.Carlson kicks 65 yards from OAK 35 to CIN 0. A.Erickson to CIN 19 for 19 yards (N.Nelson; D.Harris).,3,OAK,46236.0,43663,OAK,35,06:27:00,NP,NP,0,20,10,65.0,19.0,75,4.06,D,L,L,R,C,returner_tackled,OAK 23,OAK 17,8-0-2,OAK 37; OAK 42
2199,2018121604,4089,D.Carlson kicks 63 yards from OAK 35 to CIN 2. A.Erickson pushed ob at OAK 21 for 77 yards (E.Harris).,4,OAK,46236.0,43663,OAK,35,05:05:00,NP,NP,0,23,16,63.0,77.0,45,4.16,D,C,C,L,L,OAK 08,Solo,OAK 25,8-0-2,OAK 37; OAK 42
2204,2018121606,2020,L.Cooke kicks 37 yards from JAX 35 to WAS 28. B.Marshall to WAS 36 for 8 yards (T.Herndon).,2,JAX,46316.0,44002,JAX,35,00:04:00,NP,NP,0,10,3,37.0,8.0,75,0.0,Q,L,L,R,R,returner_tackled,Solo,JAX 41,8-0-2,JAX 25; JAX 38
2207,2018121606,3143,"L.Cooke kicks 61 yards from JAX 35 to WAS 4. B.Marshall pushed ob at WAS 27 for 23 yards (Q.Meeks). PENALTY on JAX-C.Reavis, Illegal Formation, 5 yards, enforced at WAS 27.",4,JAX,46316.0,44002,JAX,35,11:16:00,ILF,JAX 38,-5,13,6,61.0,23.0,45,4.25,D,R,R,L,L,returner_tackled,Solo,JAX 43,8-0-2,JAX 25
2209,2018121607,36,J.Sanders kicks 65 yards from MIA 35 to MIN 0. A.Abdullah to MIN 24 for 24 yards (B.Bolden).,1,MIA,46298.0,42397,MIA,35,15:00:00,NP,NP,0,0,0,65.0,24.0,45,3.7,D,C,C,C,C,returner_tackled,MIA 45,MIA 35,8-0-2,MIA 28; MIA 29
2210,2018121607,250,D.Bailey kicks 67 yards from MIN 35 to MIA -2. K.Drake to MIA 18 for 20 yards (K.Brothers).,1,MIN,38134.0,43362,MIN,35,11:40:00,NP,NP,0,7,0,67.0,20.0,75,4.08,D,C,C,C,C,returner_tackled,Solo,MIN 40,8-0-2,MIN 23; MIN 35
2220,2018121607,3566,D.Bailey kicks 69 yards from MIN 35 to MIA -4. K.Drake to MIA 21 for 25 yards (B.Gedeon; C.Ham).,4,MIN,38134.0,43362,MIN,35,07:49:00,NP,NP,0,41,17,69.0,25.0,75,4.11,D,C,C,C,C,returner_tackled,MIN 30,MIN 40,8-0-2,MIN 15; MIN 23
2221,2018121608,36,A.Rosas kicks 66 yards from NYG 35 to TEN -1. D.Jennings to TEN 26 for 27 yards (T.Davis).,1,NYG,43937.0,42973,NYG,35,15:00:00,NP,NP,0,0,0,66.0,27.0,45,3.99,D,C,C,L,L,returner_tackled,Solo,NYG 58,8-0-2,NYG 20; NYG 36
2222,2018121608,851,"R.Succop kicks 57 yards from TEN 35 to NYG 8. C.Coleman to NYG 28 for 20 yards (D.Bates). PENALTY on NYG-U.Eligwe, Illegal Block Above the Waist, 10 yards, enforced at NYG 28.",1,TEN,34707.0,43304,TEN,35,02:43:00,IBW,NYG 45,10,0,7,57.0,20.0,75,3.62,D,C,C,R,R,returner_tackled,TEN 56,TEN 53,8-0-2,TEN 28; TEN 36
2223,2018121608,2342,R.Succop kicks 64 yards from TEN 35 to NYG 1. C.Coleman to NYG 25 for 24 yards (J.Kalu).,3,TEN,34707.0,43304,TEN,35,15:00:00,NP,NP,0,0,7,64.0,24.0,75,4.15,D,C,C,C,C,returner_tackled,Solo,TEN 46,8-0-2,TEN 28; TEN 36
2224,2018121608,3177,"R.Succop kicks 61 yards from TEN 35 to NYG 4. C.Coleman to NYG 27 for 23 yards (D.Cruikshank, D.Jennings).",3,TEN,34707.0,43304,TEN,35,02:20:00,NP,NP,0,0,14,61.0,23.0,75,3.87,D,C,C,R,R,returner_tackled,Solo,TEN 29,8-0-2,TEN 28; TEN 36
2225,2018121608,3895,"R.Succop kicks 65 yards from TEN 35 to NYG 0. C.Coleman to NYG 24 for 24 yards (J.Kalu, W.Compton).",4,TEN,34707.0,43304,TEN,35,05:06:00,NP,NP,0,0,17,65.0,24.0,45,3.75,D,C,C,L,L,returner_tackled,TEN 51,TEN 46,8-0-2,TEN 28; TEN 36
2226,2018121609,36,"S.Janikowski kicks 65 yards from SEA 35 to SF 0. R.James to SF 21 for 21 yards (J.Martin). PENALTY on SF-G.Celek, Offensive Holding, 8 yards, enforced at SF 16. #13 R.James credited with a 16-yard return.",1,SEA,25326.0,46309,SEA,35,15:00:00,OH,SF 88,8,0,0,65.0,16.0,45,4.05,D,L,L,R,R,NT,NT,NT,8-0-2,SEA 28; SEA 33
2227,2018121609,442,"S.Janikowski kicks 62 yards from SEA 35 to SF 3. R.James for 97 yards, TOUCHDOWN.",1,SEA,25326.0,46309,SEA,35,09:27:00,NP,NP,0,0,6,62.0,97.0,45,4.57,D,L,L,R,R,SEA 28; SEA 59,NT,NT,8-0-2,SEA 28; SEA 33
2229,2018121609,1380,B.Pinion kicks 62 yards from SF 35 to SEA 3. J.McKissic to SEA 21 for 18 yards (J.Wilson).,2,SF,42508.0,43722,SF,35,09:29:00,NP,NP,0,14,6,62.0,18.0,45,4.25,D,C,C,C,C,returner_tackled,Solo,SF 41,8-0-2,SF 32; SF 81
2239,2018121610,379,"C.Boswell kicks 65 yards from PIT 35 to NE 0. C.Patterson to NE 23 for 23 yards (A.Burns, R.Nix).",1,PIT,41953.0,39975,PIT,35,08:40:00,NP,NP,0,7,0,65.0,23.0,75,4.03,D,C,C,L,L,returner_tackled,PIT 25,PIT 45,8-0-2,PIT 20; PIT 25
2240,2018121610,554,S.Gostkowski kicks 64 yards from NE 35 to PIT 1. R.Switzer to PIT 28 for 27 yards (R.Burkhead).,1,NE,30932.0,44946,NE,35,06:48:00,NP,NP,0,7,7,64.0,27.0,45,4.14,D,R,R,L,L,returner_tackled,Solo,NE 34,8-0-2,NE 23; NE 32
2246,2018121611,363,J.Elliott kicks 64 yards from PHI 35 to LA 1. P.Cooper to LA 20 for 19 yards (B.Bello).,1,PHI,44966.0,43406,PHI,35,08:35:00,NP,NP,0,0,3,64.0,19.0,45,3.86,D,C,C,R,R,returner_tackled,Solo,PHI 59,8-0-2,PHI 27; PHI 34
2252,2018121611,2442,J.Elliott kicks 65 yards from PHI 35 to LA 0. P.Cooper ran ob at LA 12 for 12 yards (M.Jenkins).,3,PHI,44966.0,43406,PHI,35,10:28:00,NP,NP,0,13,20,65.0,12.0,45,4.01,D,C,C,R,R,returner_tackled,Solo,PHI 27,8-0-2,PHI 27; PHI 34
2256,2018121611,4201,G.Zuerlein kicks 50 yards from LA 35 to PHI 15. D.Sproles to PHI 17 for 2 yards (K.Hodge).,4,LA,38701.0,29957,LA,35,04:06:00,NP,NP,0,23,30,50.0,2.0,45,3.69,P,R,R,L,L,returner_tackled,Solo,LA 11,8-0-2,LA 23; LA 37
2258,2018121700,654,C.Catanzaro kicks 66 yards from CAR 35 to NO -1. A.Kamara pushed ob at NO 49 for 50 yards (C.Catanzaro).,1,CAR,41736.0,44879,CAR,35,04:02:00,NP,NP,0,7,0,66.0,50.0,45,3.88,D,C,C,R,R,returner_tackled,Solo,CAR 04,8-0-2,CAR 28; CAR 35
2262,2018121700,3266,W.Lutz kicks 65 yards from NO 35 to CAR 0. K.Barner pushed ob at CAR 26 for 26 yards (T.Hill; M.Williams).,4,NO,43689.0,40130,NO,35,12:12:00,NP,NP,0,9,12,65.0,26.0,75,3.8,D,L,L,R,R,returner_tackled,NO 43,NO 07,8-0-2,NO 29; NO 43
2263,2018122200,37,R.Succop kicks 65 yards from TEN 35 to WAS 0. B.Marshall pushed ob at WAS 28 for 28 yards (K.Lewis).,1,TEN,34707.0,44002,TEN,35,15:00:00,NP,NP,0,0,0,65.0,28.0,75,4.01,D,L,L,R,R,returner_tackled,Solo,TEN 28,8-0-2,TEN 28; TEN 36
2264,2018122200,259,D.Hopkins kicks 65 yards from WAS 35 to TEN 0. D.Jennings to TEN 31 for 31 yards (H.Clinton-Dix).,1,WAS,40125.0,42973,WAS,35,12:09:00,NP,NP,0,0,3,65.0,31.0,45,3.98,D,C,C,R,R,returner_tackled,Solo,WAS 20,8-0-2,WAS 20; WAS 37
2272,2018122201,37,J.Tucker kicks 67 yards from BAL 35 to LAC -2. D.King to LAC 17 for 19 yards (T.Montgomery; C.Board).,1,BAL,39470.0,44964,BAL,35,15:00:00,NP,NP,0,0,0,67.0,19.0,45,4.14,D,C,C,L,L,returner_tackled,BAL 49,BAL 88,8-0-2,BAL 27; BAL 28
2274,2018122201,1487,J.Tucker kicks 67 yards from BAL 35 to LAC -2. D.King to LAC 24 for 26 yards (C.Clark).,2,BAL,39470.0,44964,BAL,35,02:50:00,NP,NP,0,0,6,67.0,26.0,75,3.8,D,C,C,R,R,returner_tackled,Solo,BAL 36,8-0-2,BAL 27; BAL 28
2275,2018122201,1873,M.Badgley kicks 62 yards from LAC 35 to BAL 3. C.Moore to BAL 30 for 27 yards (J.Richards).,2,LAC,46342.0,43396,LAC,35,00:40:00,NP,NP,0,3,6,62.0,27.0,45,3.78,D,C,C,C,C,returner_tackled,Solo,LAC 29,8-0-2,LAC 29; LAC 31
2276,2018122201,2150,M.Badgley kicks 63 yards from LAC 35 to BAL 2. C.Moore to BAL 20 for 18 yards (A.Phillips).,3,LAC,46342.0,43396,LAC,35,15:00:00,NP,NP,0,3,6,63.0,18.0,45,3.73,D,C,C,C,L,returner_tackled,Solo,LAC 31,8-0-2,LAC 29; LAC 31
2277,2018122201,2306,M.Badgley kicks 60 yards from LAC 35 to BAL 5. C.Moore to BAL 15 for 10 yards (A.Phillips).,3,LAC,46342.0,43396,LAC,35,13:18:00,NP,NP,0,10,6,60.0,10.0,45,3.84,D,R,R,C,C,returner_tackled,LAC 11,LAC 31,8-0-2,LAC 29; LAC 31
2287,2018122300,2560,R.Sanchez kicks 66 yards from IND 35 to NYG -1. C.Coleman to NYG 15 for 16 yards (C.Milton).,3,IND,45153.0,43304,IND,35,07:38:00,NP,NP,0,14,17,66.0,16.0,75,4.35,D,C,C,C,C,returner_tackled,Solo,IND 28,8-0-2,IND 27; IND 36
2288,2018122300,2816,"A.Rosas kicks 63 yards from NYG 35 to IND 2. Z.Pascal to IND 26 for 24 yards (N.Stupar, L.Carter).",3,NYG,43937.0,45102,NYG,35,03:42:00,NP,NP,0,14,24,63.0,24.0,45,4.21,D,C,C,C,C,returner_tackled,NYG 59,NYG 57,5-3-2,NYG 20; NYG 36
2292,2018122302,36,L.Cooke kicks 63 yards from JAX 35 to MIA 2. K.Drake to MIA 22 for 20 yards (N.DeLuca).,1,JAX,46316.0,43362,JAX,35,15:00:00,NP,NP,0,0,0,63.0,20.0,45,4.4,D,C,C,C,C,returner_tackled,Solo,JAX 57,8-0-2,JAX 26; JAX 38
2294,2018122302,704,"L.Cooke kicks 64 yards from JAX 35 to MIA 1. K.Drake to MIA 19 for 18 yards (L.McCray). PENALTY on JAX-Q.Meeks, Offside on Free Kick, 5 yards, enforced at MIA 19.",1,JAX,46316.0,43362,JAX,35,02:29:00,OFK,JAX 43,-5,7,7,64.0,18.0,45,4.24,D,L,L,C,C,returner_tackled,Solo,JAX 55,8-0-2,JAX 38; JAX 55
2297,2018122302,3325,L.Cooke kicks 75 yards from JAX 20 to MIA 5. K.Drake to MIA 23 for 18 yards (L.McCray).,4,JAX,46316.0,43362,JAX,20,09:34:00,NP,NP,0,7,17,75.0,18.0,30,4.16,D,L,L,L,L,JAX 38,Solo,JAX 55,8-0-2,JAX 26; JAX 38
